#config
dt,angle_limit_tc,thr_mix_min,thr_mix_max,throttle_hover,throttle_thrust_max,cos_tilt,angle_boost_enabled
992204554,1065353216,1036831949,1056964608,1051931443,1064514355,1065353216,1
#leanangle
step,throttle_in,lean_max
121,1057535033,1050314937
122,1057602142,1050355308
123,1057669251,1050394952
124,1057736360,1050433867
125,1057803469,1050472049
126,1057870578,1050509495
127,1057937687,1050546202
128,1058004796,1050582166
129,1058071904,1050617383
130,1058139013,1050651849
131,1058206122,1050685560
132,1058273231,1050718512
133,1058340340,1050750701
134,1058407448,1050782121
135,1058474558,1050812768
136,1058541667,1050842636
137,1058608776,1050871720
138,1058675884,1050900014
139,1058742993,1050927511
140,1058810102,1050954206
141,1058877211,1050980091
142,1058944320,1051005160
143,1059011428,1051029405
144,1059078537,1051052818
145,1059145646,1051075391
146,1059212755,1051097114
147,1059279864,1051117979
148,1059346973,1051137975
149,1059414082,1051157092
150,1059481191,1051175318
151,1059548300,1051192642
152,1059615408,1051209050
153,1059682517,1051224529
154,1059749626,1051239064
155,1059816735,1051252639
156,1059883844,1051265237
157,1059950952,1051276840
158,1060018061,1051287428
159,1060085170,1051296979
160,1060152279,1051305470
161,1060219388,1051312874
162,1060286497,1051319163
163,1060353606,1051324305
164,1060420715,1051328266
165,1060487824,1051331005
166,1060554932,1051332478
167,1060622041,1051332633
168,1060689150,1051331412
169,1060756259,1051328745
170,1060823368,1051324550
171,1060890476,1051318727
172,1060957585,1051311151
173,1061024695,1051301659
174,1061091804,1051290029
175,1061158912,1051275931
176,1061226021,1051258800
177,1061293130,1051237262
178,1061360239,1051209706
179,1061427348,1051182219
180,1061494456,1051154800
181,1061561565,1051127450
182,1061628674,1051100168
183,1061695783,1051072954
184,1061762892,1051045808
185,1061830000,1051018730
186,1061897110,1050991719
187,1061964219,1050964776
188,1062031328,1050937900
189,1062098436,1050911091
190,1062165545,1050884349
191,1062232654,1050857673
192,1062299763,1050831064
193,1062366872,1050804521
194,1062433980,1050778044
195,1062501089,1050751633
196,1062568198,1050725288
197,1062635307,1050699009
198,1062702416,1050672795
199,1062769525,1050646647
200,1064514355,1050620564
201,1064476606,1050594546
202,1064438858,1050568593
203,1064401109,1050542705
204,1064363360,1050516881
205,1064325612,1050491122
206,1064287863,1050465427
207,1064250114,1050439796
208,1064212365,1050414229
209,1064174617,1050388726
210,1064136868,1050363286
211,1064099119,1050337910
212,1064061371,1050312597
213,1064023622,1050287347
214,1063985873,1050262160
215,1063948124,1050237036
216,1063910376,1050211975
217,1063872627,1050186976
218,1063834878,1050162039
219,1063797129,1050137165
220,1063759380,1050112353
221,1063721631,1050087602
222,1063683883,1050062913
223,1063646134,1050038286
224,1063608385,1050013720
225,1063570637,1049989215
226,1063532888,1049964772
227,1063495139,1049940390
228,1063457390,1049916068
229,1063419642,1049891807
230,1063381893,1049867606
231,1063344144,1049843466
232,1063306396,1049819386
233,1063268647,1049795366
234,1063230898,1049771406
235,1063193150,1049747506
236,1063155401,1049723665
237,1063117652,1049699884
238,1063079904,1049676162
239,1063042155,1049652499
240,1063004406,1049628895
241,1062966658,1049605350
242,1062928909,1049581864
243,1062891160,1049558436
244,1062853410,1049535067
245,1062815662,1049511756
246,1062777913,1049488503
247,1062740164,1049465308
248,1062702416,1049442171
249,1062664667,1049419092
250,1062626918,1049396070
251,1062589170,1049373106
252,1062551421,1049350199
253,1062513672,1049327349
254,1062475924,1049304556
255,1062438175,1049281820
256,1062400426,1049259141
257,1062362677,1049236518
258,1062324929,1049213952
259,1062287180,1049191442
260,1062249431,1049168988
261,1062211682,1049146590
262,1062173934,1049124248
263,1062136185,1049101962
264,1062098436,1049079731
265,1062060688,1049057556
266,1062022939,1049035436
267,1061985190,1049013371
268,1061947442,1048991361
269,1061909692,1048969406
270,1061871943,1048947506
271,1061834195,1048925660
272,1061796446,1048903869
273,1061758697,1048882132
274,1061720948,1048860449
275,1061683200,1048838820
276,1061645451,1048817245
277,1061607702,1048795724
278,1061569954,1048774257
279,1061532205,1048752843
280,1061494456,1048731483
281,1061456708,1048710176
282,1061418959,1048688922
283,1061381210,1048667721
284,1061343462,1048646573
285,1061305713,1048630278
286,1061267964,1048617257
287,1061230216,1048606534
288,1061192467,1048597690
289,1061154718,1048590475
290,1061116970,1048584717
291,1061079221,1048580289
292,1061041472,1048577091
293,1061003723,1048574085
294,1060965974,1048572153
295,1060928225,1048572272
296,1060890476,1048574344
297,1060852728,1048577141
298,1060814979,1048580005
299,1060777230,1048583730
300,1060739482,1048588285
301,1060701733,1048593642
302,1060663984,1048599775
303,1060626236,1048606661
304,1060588487,1048614278
305,1060550738,1048622606
306,1060512989,1048631626
307,1060475240,1048641320
308,1060437492,1048651673
309,1060399743,1048662668
310,1060361994,1048674291
311,1060324246,1048686528
312,1060286497,1048699367
313,1060248748,1048712795
314,1060211000,1048726800
315,1060173251,1048741370
316,1060135502,1048756496
317,1060097754,1048772166
318,1060060005,1048788372
319,1060022256,1048805103
320,1059984508,1048822351
321,1059946758,1048840107
322,1059909009,1048858363
323,1059871260,1048877111
324,1059833512,1048896343
325,1059795763,1048916051
326,1059758014,1048936228
327,1059720266,1048956868
328,1059682517,1048977963
329,1059644768,1048999507
330,1059607020,1049021494
331,1059569271,1049043918
332,1059531522,1049066772
333,1059493774,1049090051
334,1059456025,1049113750
335,1059418276,1049137862
336,1059380528,1049162383
337,1059342778,1049187307
338,1059305030,1049212629
339,1059267282,1049238345
340,1059229532,1049264449
341,1059191784,1049290937
342,1059154035,1049317805
343,1059116286,1049345048
344,1059078538,1049372661
345,1059040789,1049400641
346,1059003040,1049428983
347,1058965291,1049457683
348,1058927542,1049486737
349,1058889794,1049516142
350,1058852045,1049545893
351,1058814296,1049575987
352,1058776548,1049606420
353,1058738798,1049637189
354,1058701050,1049668290
355,1058663302,1049699720
356,1058625552,1049731475
357,1058587804,1049763552
358,1058550055,1049795948
359,1058512306,1049828660
360,1058474558,1049861684
361,1058436809,1049895018
362,1058399060,1049928658
363,1058361312,1049962602
364,1058323563,1049996847
365,1058285814,1050031389
366,1058248066,1050066226
367,1058210317,1050101356
368,1058172568,1050136775
369,1058134820,1050172481
370,1058097071,1050208472
371,1058059322,1050244744
372,1058021572,1050281296
373,1057983824,1050318124
374,1057946075,1050355227
375,1057908326,1050392602
376,1057870578,1050430246
377,1057832829,1050468157
378,1057795080,1050506333
379,1057757332,1050544772
380,1057719583,1050583471
381,1057681834,1050622428
382,1057644086,1050661641
383,1057606337,1050701108
384,1057568588,1050740827
385,1057530840,1050780795
386,1057493090,1050821011
387,1057455342,1050861473
388,1057417594,1050902178
389,1057379844,1050943125
390,1057342096,1050984312
391,1057304347,1051025736
392,1057266598,1051067396
393,1057228850,1051109290
394,1057191101,1051151416
395,1057153352,1051193773
396,1057115604,1051236358
397,1057077854,1051279170
398,1057040106,1051322207
399,1057002356,1051365468
400,1056964608,1051408950
401,1056889112,1051452652
402,1056813613,1051496572
403,1056738118,1051540709
404,1056662618,1051585061
405,1056587123,1051629626
406,1056511624,1051674403
407,1056436128,1051719391
408,1056360629,1051764587
409,1056285133,1051809990
410,1056209634,1051855599
411,1056134135,1051901412
412,1056058639,1051947428
413,1055983140,1051993645
414,1055907644,1052040062
415,1055832145,1052086678
416,1055756650,1052133491
417,1055681150,1052180499
418,1055605655,1052227701
419,1055530156,1052275096
420,1055454660,1052322683
421,1055379161,1052370460
422,1055303665,1052418426
423,1055228166,1052466579
424,1055152670,1052514919
425,1055077172,1052563444
426,1055001676,1052612152
427,1054926176,1052661043
428,1054850680,1052710115
429,1054775182,1052759367
430,1054699686,1052808798
431,1054624186,1052858407
432,1054548692,1052908192
433,1054473192,1052958152
434,1054397696,1053008286
435,1054322198,1053058593
436,1054246698,1053109072
437,1054171202,1053159722
438,1054095704,1053210542
439,1054020208,1053261530
440,1053944708,1053312685
441,1053869212,1053364007
442,1053793714,1053415494
443,1053718218,1053467145
444,1053642718,1053518959
445,1053567224,1053570935
446,1053491724,1053623072
447,1053416228,1053675370
448,1053340730,1053727827
449,1053265234,1053780442
450,1053189734,1053833214
451,1053114238,1053886142
452,1053038740,1053939225
453,1052963244,1053992462
454,1052887744,1054045852
455,1052812250,1054099394
456,1052736750,1054153088
457,1052661254,1054206932
458,1052585756,1054260926
459,1052510260,1054315068
460,1052434760,1054369358
461,1052359262,1054423795
462,1052283766,1054478378
463,1052208266,1054533106
464,1052132770,1054587978
465,1052057272,1054642993
466,1051981776,1054698151
467,1051906276,1054753450
468,1051830782,1054808890
469,1051755282,1054864470
470,1051679786,1054920189
471,1051604288,1054976046
472,1051528792,1055032041
473,1051453292,1055088173
474,1051377796,1055144441
475,1051302298,1055200844
476,1051226802,1055257381
477,1051151302,1055314052
478,1051075808,1055370855
479,1051000308,1055427791
480,1050924812,1055484858
481,1050849314,1055542056
482,1050773818,1055599383
483,1050698318,1055656840
484,1050622822,1055714425
485,1050547324,1055772138
486,1050471828,1055829978
487,1050396328,1055887944
488,1050320830,1055946036
489,1050245334,1056004252
490,1050169834,1056062593
491,1050094340,1056121057
492,1050018840,1056179644
493,1049943344,1056238353
494,1049867846,1056297184
495,1049792350,1056356136
496,1049716850,1056415208
497,1049641354,1056474399
498,1049565856,1056533709
499,1049490360,1056593138
500,1049414862,1056652684
501,1049339366,1056712348
502,1049263866,1056772128
503,1049188370,1056832024
504,1049112872,1056892035
505,1049037376,1056952161
506,1048961876,1056988504
507,1048886382,1057018681
508,1048810882,1057048914
509,1048735386,1057079203
510,1048659888,1057109548
511,1048584392,1057139949
512,1048441784,1057170405
513,1048290788,1057200916
514,1048139796,1057231482
515,1047988796,1057262102
516,1047837804,1057292776
517,1047686808,1057323504
518,1047535816,1057354286
519,1047384816,1057385121
520,1047233828,1057416009
521,1047082828,1057446950
522,1046931836,1057477944
523,1046780840,1057508990
524,1046629848,1057540088
525,1046478848,1057571238
526,1046327856,1057602440
527,1046176860,1057633693
528,1046025868,1057664997
529,1045874868,1057696352
530,1045723880,1057727758
531,1045572880,1057759214
532,1045421888,1057790720
533,1045270892,1057822276
534,1045119900,1057853882
535,1044968900,1057885537
536,1044817908,1057917242
537,1044666912,1057948996
538,1044515912,1057980798
539,1044364920,1058012649
540,1044213924,1058044548
541,1044062932,1058076495
542,1043911932,1058108490
543,1043760944,1058140533
544,1043609944,1058172623
545,1043458952,1058204761
546,1043307956,1058236946
547,1043156964,1058269177
548,1043005964,1058301455
549,1042854972,1058333780
550,1042703976,1058366151
551,1042552984,1058398568
552,1042401984,1058431031
553,1042250996,1058463539
554,1042099996,1058496093
555,1041949004,1058528692
556,1041798008,1058561336
557,1041647016,1058594025
558,1041496016,1058626759
559,1041345024,1058659537
560,1041194028,1058692359
561,1041043036,1058725225
562,1040892036,1058758135
563,1040741048,1058791089
564,1040590048,1058824087
565,1040439048,1058857128
566,1040288060,1058890212
567,1040086728,1058923340
568,1039784744,1058956510
569,1039482752,1058989723
570,1039180768,1059022979
571,1038878768,1059056277
572,1038576784,1059089617
573,1038274792,1059123000
574,1037972808,1059156424
575,1037670808,1059189890
576,1037368832,1059223398
577,1037066832,1059256947
578,1036764848,1059290538
579,1036462856,1059324170
580,1036160872,1059357843
581,1035858872,1059391557
582,1035556888,1059425311
583,1035254896,1059459106
584,1034952912,1059492941
585,1034650912,1059526817
586,1034348936,1059560733
587,1034046936,1059594689
588,1033744952,1059628684
589,1033442960,1059662719
590,1033140960,1059696794
591,1032838976,1059730908
592,1032536984,1059765061
593,1032235000,1059799254
594,1031933000,1059833486
595,1031463248,1059867757
596,1030859264,1059902066
597,1030255296,1059936414
598,1029651296,1059970801
599,1029047344,1060005226
#boost
idx,throttle_in,thrust_angle,boosted,angle_boost
0,0,0,0,0
1,0,1045220557,0,0
2,0,1058642330,0,0
3,0,1065353216,0,0
4,0,1068708659,0,0
5,0,1069547520,0,0
6,0,1070134723,0,0
7,1041865114,0,1041865114,0
8,1041865114,1045220557,1042069851,994570304
9,1041865114,1058642330,1043995434,1023542848
10,1041865114,1065353216,1049502853,1040363376
11,1041865114,1068708659,1063382287,1060865704
12,1041865114,1069547520,1069547520,1065353216
13,1041865114,1070134723,1069547520,1065353216
14,1056964608,0,1056964608,0
15,1056964608,1045220557,1057135222,1009163648
16,1056964608,1058642330,1058739875,1037612312
17,1056964608,1065353216,1064101768,1054461712
18,1056964608,1068708659,1077691788,1065353216
19,1056964608,1069547520,1084227584,1065353216
20,1056964608,1070134723,1084227584,1065353216
21,1062836634,0,1062836634,0
22,1062836634,1045220557,1063126678,1015914368
23,1062836634,1058642330,1065603902,1043870600
24,1062836634,1065353216,1070161511,1060709172
25,1062836634,1068708659,1084229610,1065353216
26,1062836634,1069547520,1091043328,1065353216
27,1062836634,1070134723,1091043328,1065353216
28,1065353216,0,1065353216,0
29,1065353216,1045220557,1065523830,1017552256
30,1065353216,1058642330,1067128483,1046000920
31,1065353216,1065353216,1072490376,1062850320
32,1065353216,1068708659,1086080396,1065353216
33,1065353216,1069547520,1092616192,1065353216
34,1065353216,1070134723,1092616192,1065353216
#avgmax
idx,mix,throttle_in,avg_max
0,1036831949,3192704205,1024416809
1,1036831949,0,1024416809
2,1036831949,1036831949,1040187392
3,1036831949,1051931443,1051931443
4,1036831949,1060320051,1060320051
5,1036831949,1065353216,1065353216
6,1036831949,1067869798,1065353216
7,1056964608,3192704205,1043542835
8,1056964608,0,1043542835
9,1056964608,1036831949,1046898278
10,1056964608,1051931443,1051931443
11,1056964608,1060320051,1060320051
12,1056964608,1065353216,1065353216
13,1056964608,1067869798,1065353216
14,1063675494,3192704205,1050757038
15,1063675494,0,1050757038
16,1063675494,1036831949,1051092582
17,1063675494,1051931443,1051931443
18,1063675494,1060320051,1060320051
19,1063675494,1065353216,1065353216
20,1063675494,1067869798,1065353216
21,1065353216,3192704205,1051931443
22,1065353216,0,1051931443
23,1065353216,1036831949,1051931443
24,1065353216,1051931443,1051931443
25,1065353216,1060320051,1060320051
26,1065353216,1065353216,1065353216
27,1065353216,1067869798,1065353216
28,1075838976,3192704205,1063256064
29,1075838976,0,1063256064
30,1075838976,1036831949,1063256064
31,1075838976,1051931443,1063256064
32,1075838976,1060320051,1063256064
33,1075838976,1065353216,1065353216
34,1075838976,1067869798,1065353216
35,1084227584,3192704205,1071644672
36,1084227584,0,1071644672
37,1084227584,1036831949,1071644672
38,1084227584,1051931443,1071644672
39,1084227584,1060320051,1071644672
40,1084227584,1065353216,1071644672
41,1084227584,1067869798,1071644672
#mixslew
step,desired,throttle_in,throttle_out,mix
0,1063675494,1036831949,1039516304,1037503038
1,1063675494,1036848726,1039539792,1038174127
2,1063675494,1036865503,1039563279,1038845216
3,1063675494,1036882281,1039586768,1039516305
4,1063675494,1036899058,1039610256,1040187393
5,1063675494,1036915835,1039633744,1040522937
6,1063675494,1036932612,1039657232,1040858481
7,1063675494,1036949390,1039680721,1041194025
8,1063675494,1036966167,1039704208,1041529569
9,1063675494,1036982944,1039727696,1041865113
10,1063675494,1036999721,1039751184,1042200657
11,1063675494,1037016498,1039774672,1042536201
12,1063675494,1037033276,1039798161,1042871745
13,1063675494,1037050053,1039821649,1043207289
14,1063675494,1037066830,1039845137,1043542833
15,1063675494,1037083607,1039868625,1043878377
16,1063675494,1037100384,1039892112,1044213921
17,1063675494,1037117162,1039915602,1044549465
18,1063675494,1037133939,1039939089,1044885009
19,1063675494,1037150716,1039962578,1045220553
20,1063675494,1037167493,1039986065,1045556097
21,1063675494,1037184271,1040009554,1045891641
22,1063675494,1037201048,1040033042,1046227185
23,1063675494,1037217825,1040056530,1046562729
24,1063675494,1037234602,1040080018,1046898273
25,1063675494,1037251379,1040103506,1047233817
26,1063675494,1037268157,1040126995,1047569361
27,1063675494,1037284934,1040150482,1047904905
28,1063675494,1037301711,1040173970,1048240449
29,1063675494,1037318488,1040192425,1048575993
30,1063675494,1037335265,1040204169,1048743769
31,1063675494,1037352043,1040215914,1048911541
32,1063675494,1037368820,1040227658,1049079313
33,1063675494,1037385597,1040239401,1049247085
34,1063675494,1037402374,1040251145,1049414857
35,1063675494,1037419152,1040262890,1049582629
36,1063675494,1037435929,1040274634,1049750401
37,1063675494,1037452706,1040286378,1049918173
38,1063675494,1037469483,1040298122,1050085945
39,1063675494,1037486260,1040309866,1050253717
40,1063675494,1037503038,1040321610,1050421489
41,1063675494,1037519815,1040333354,1050589261
42,1063675494,1037536592,1040345098,1050757033
43,1063675494,1037553369,1040356842,1050924805
44,1063675494,1037570146,1040368586,1051092577
45,1063675494,1037586924,1040380330,1051260349
46,1063675494,1037603701,1040392074,1051428121
47,1063675494,1037620478,1040403818,1051595893
48,1063675494,1037637255,1040415562,1051763665
49,1063675494,1037654033,1040427306,1051931437
50,1063675494,1037670810,1040439050,1052099209
51,1063675494,1037687587,1040450794,1052266981
52,1063675494,1037704364,1040462538,1052434753
53,1063675494,1037721141,1040474282,1052602525
54,1063675494,1037737919,1040486027,1052770297
55,1063675494,1037754696,1040497771,1052938069
56,1063675494,1037771473,1040509514,1053105841
57,1063675494,1037788250,1040521259,1053273613
58,1063675494,1037805028,1040533003,1053441385
59,1063675494,1037821805,1040544747,1053609157
60,1063675494,1037838582,1040556491,1053776929
61,1063675494,1037855359,1040568235,1053944701
62,1063675494,1037872136,1040579979,1054112473
63,1063675494,1037888914,1040591723,1054280245
64,1063675494,1037905691,1040603467,1054448017
65,1063675494,1037922468,1040615211,1054615789
66,1063675494,1037939245,1040626955,1054783561
67,1063675494,1037956022,1040638699,1054951333
68,1063675494,1037972800,1040650443,1055119105
69,1063675494,1037989577,1040662187,1055286877
70,1063675494,1038006354,1040673931,1055454649
71,1063675494,1038023131,1040685675,1055622421
72,1063675494,1038039908,1040697419,1055790193
73,1063675494,1038056686,1040709164,1055957965
74,1063675494,1038073463,1040720908,1056125737
75,1063675494,1038090240,1040732652,1056293509
76,1063675494,1038107017,1040744396,1056461281
77,1063675494,1038123795,1040756140,1056629053
78,1063675494,1038140572,1040767884,1056796825
79,1063675494,1038157349,1040779628,1056964597
80,1063675494,1038174126,1040791372,1057048489
81,1063675494,1038190904,1040803116,1057132375
82,1063675494,1038207681,1040814860,1057216261
83,1063675494,1038224458,1040826604,1057300147
84,1063675494,1038241235,1040838348,1057384033
85,1063675494,1038258012,1040850092,1057467919
86,1063675494,1038274790,1040861836,1057551805
87,1063675494,1038291567,1040873580,1057635691
88,1063675494,1038308344,1040885324,1057719577
89,1063675494,1038325121,1040897068,1057803463
90,1063675494,1038341898,1040908812,1057887349
91,1063675494,1038358676,1040920556,1057971235
92,1063675494,1038375453,1040932300,1058055121
93,1063675494,1038392230,1040944044,1058139007
94,1063675494,1038409007,1040955788,1058222893
95,1063675494,1038425784,1040967532,1058306779
96,1063675494,1038442562,1040979277,1058390665
97,1063675494,1038459339,1040991021,1058474551
98,1063675494,1038476116,1041002765,1058558437
99,1063675494,1038492893,1041014508,1058642323
100,1063675494,1038509671,1041026253,1058726209
101,1063675494,1038526448,1041037997,1058810095
102,1063675494,1038543225,1041049741,1058893981
103,1063675494,1038560002,1041061485,1058977867
104,1063675494,1038576779,1041073229,1059061753
105,1063675494,1038593557,1041084973,1059145639
106,1063675494,1038610334,1041096717,1059229525
107,1063675494,1038627111,1041108461,1059313411
108,1063675494,1038643888,1041120205,1059397297
109,1063675494,1038660666,1041131950,1059481183
110,1063675494,1038677443,1041143694,1059565069
111,1063675494,1038694220,1041155438,1059648955
112,1063675494,1038710997,1041167181,1059732841
113,1063675494,1038727774,1041178925,1059816727
114,1063675494,1038744552,1041190670,1059900613
115,1063675494,1038761329,1041202414,1059984499
116,1063675494,1038778106,1041214158,1060068385
117,1063675494,1038794883,1041225902,1060152271
118,1063675494,1038811660,1041237646,1060236157
119,1063675494,1038828438,1041249390,1060320043
120,1063675494,1038845215,1041261134,1060403929
121,1063675494,1038861992,1041272878,1060487815
122,1063675494,1038878769,1041284622,1060571701
123,1063675494,1038895547,1041296366,1060655587
124,1063675494,1038912324,1041308110,1060739473
125,1063675494,1038929101,1041319854,1060823359
126,1063675494,1038945878,1041331598,1060907245
127,1063675494,1038962656,1041343342,1060991131
128,1063675494,1038979433,1041355086,1061075017
129,1063675494,1038996210,1041366830,1061158903
130,1063675494,1039012987,1041378574,1061242789
131,1063675494,1039029764,1041390318,1061326675
132,1063675494,1039046542,1041402063,1061410561
133,1063675494,1039063319,1041413807,1061494447
134,1063675494,1039080096,1041425551,1061578333
135,1063675494,1039096873,1041437294,1061662219
136,1063675494,1039113650,1041449038,1061746105
137,1063675494,1039130428,1041460783,1061829991
138,1063675494,1039147205,1041472527,1061913877
139,1063675494,1039163982,1041484271,1061997763
140,1063675494,1039180759,1041496015,1062081649
141,1063675494,1039197536,1041507759,1062165535
142,1063675494,1039214314,1041519503,1062249421
143,1063675494,1039231091,1041531247,1062333307
144,1063675494,1039247868,1041542991,1062417193
145,1063675494,1039264645,1041554735,1062501079
146,1063675494,1039281422,1041566479,1062584965
147,1063675494,1039298200,1041578223,1062668851
148,1063675494,1039314977,1041589967,1062752737
149,1063675494,1039331754,1041601711,1062836623
150,1063675494,1039348532,1041613456,1062920509
151,1063675494,1039365309,1041625200,1063004395
152,1063675494,1039382086,1041636944,1063088281
153,1063675494,1039398863,1041648688,1063172167
154,1063675494,1039415640,1041660432,1063256053
155,1063675494,1039432418,1041672176,1063339939
156,1063675494,1039449195,1041683920,1063423825
157,1063675494,1039465972,1041695664,1063507711
158,1063675494,1039482749,1041707408,1063591597
159,1063675494,1039499526,1041719152,1063675483
160,1063675494,1039516304,1041730896,1063675494
161,1063675494,1039533081,1041742640,1063675494
162,1063675494,1039549858,1041754384,1063675494
163,1063675494,1039566635,1041766128,1063675494
164,1063675494,1039583412,1041777872,1063675494
165,1063675494,1039600190,1041789616,1063675494
166,1063675494,1039616967,1041801360,1063675494
167,1063675494,1039633744,1041813104,1063675494
168,1063675494,1039650521,1041824848,1063675494
169,1063675494,1039667298,1041836592,1063675494
170,1063675494,1039684076,1041848336,1063675494
171,1063675494,1039700853,1041860080,1063675494
172,1063675494,1039717630,1041871824,1063675494
173,1063675494,1039734408,1041883569,1063675494
174,1063675494,1039751185,1041895313,1063675494
175,1063675494,1039767962,1041907057,1063675494
176,1063675494,1039784739,1041918801,1063675494
177,1063675494,1039801516,1041930545,1063675494
178,1063675494,1039818294,1041942289,1063675494
179,1063675494,1039835071,1041954033,1063675494
180,1063675494,1039851848,1041965777,1063675494
181,1063675494,1039868625,1041977521,1063675494
182,1063675494,1039885402,1041989265,1063675494
183,1063675494,1039902180,1042001009,1063675494
184,1063675494,1039918957,1042012753,1063675494
185,1063675494,1039935734,1042024497,1063675494
186,1063675494,1039952511,1042036241,1063675494
187,1063675494,1039969288,1042047985,1063675494
188,1063675494,1039986066,1042059730,1063675494
189,1063675494,1040002843,1042071474,1063675494
190,1063675494,1040019620,1042083218,1063675494
191,1063675494,1040036397,1042094961,1063675494
192,1063675494,1040053174,1042106705,1063675494
193,1063675494,1040069952,1042118450,1063675494
194,1063675494,1040086729,1042130194,1063675494
195,1063675494,1040103506,1042141938,1063675494
196,1063675494,1040120283,1042153682,1063675494
197,1063675494,1040137060,1042165426,1063675494
198,1063675494,1040153838,1042177170,1063675494
199,1063675494,1040170615,1042188914,1063675494
200,1063675494,1040187392,1042200658,1063675494
201,1063675494,1040195781,1042212402,1063675494
202,1063675494,1040204169,1042224146,1063675494
203,1063675494,1040212558,1042235890,1063675494
204,1063675494,1040220946,1042247634,1063675494
205,1063675494,1040229335,1042259378,1063675494
206,1063675494,1040237724,1042271122,1063675494
207,1063675494,1040246112,1042282866,1063675494
208,1063675494,1040254501,1042294610,1063675494
209,1063675494,1040262890,1042306355,1063675494
210,1063675494,1040271278,1042318098,1063675494
211,1063675494,1040279667,1042329843,1063675494
212,1063675494,1040288055,1042341586,1063675494
213,1063675494,1040296444,1042353331,1063675494
214,1063675494,1040304832,1042365074,1063675494
215,1063675494,1040313221,1042376818,1063675494
216,1063675494,1040321610,1042388563,1063675494
217,1063675494,1040329998,1042400306,1063675494
218,1063675494,1040338387,1042412051,1063675494
219,1063675494,1040346776,1042423795,1063675494
220,1063675494,1040355164,1042435539,1063675494
221,1063675494,1040363553,1042447283,1063675494
222,1063675494,1040371942,1042459028,1063675494
223,1063675494,1040380330,1042470771,1063675494
224,1063675494,1040388719,1042482515,1063675494
225,1063675494,1040397107,1042494259,1063675494
226,1063675494,1040405496,1042506004,1063675494
227,1063675494,1040413884,1042517747,1063675494
228,1063675494,1040422273,1042529491,1063675494
229,1063675494,1040430662,1042541236,1063675494
230,1063675494,1040439050,1042552979,1063675494
231,1063675494,1040447439,1042564724,1063675494
